         3695265 function calls (3538218 primitive calls) in 6.355 seconds

   Ordered by: cumulative time
   List reduced from 496 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30710    0.019    0.000    0.030    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:358(__init__)
    43440    0.018    0.000    0.046    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:484(_str_normcase)
    40488    0.017    0.000    0.108    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:437(__str__)
     4344    0.017    0.000    0.051    0.000 {built-in method posix.stat}
     4090    0.017    0.000    0.025    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:204(evaluate)
    79129    0.015    0.000    0.023    0.000 {built-in method _abc._abc_instancecheck}
   116206    0.015    0.000    0.015    0.000 {built-in method sys.intern}
   270003    0.015    0.000    0.015    0.000 {built-in method math.isfinite}
    30412    0.015    0.000    0.066    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:380(with_segments)
    27121    0.014    0.000    0.023    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_properties.py:488(is_water_provider)
    44639    0.013    0.000    0.013    0.000 {method 'hex' of 'float' objects}
    12529    0.013    0.000    0.190    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:333(decode)
116183/81431    0.013    0.000    0.018    0.000 {built-in method builtins.len}
     1086    0.013    0.000    0.732    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/arlabosse_caloric.py:72(_source)
    79129    0.012    0.000    0.035    0.000 <frozen abc>:117(__instancecheck__)
    17376    0.012    0.000    0.076    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:277(__getitem__)
    30710    0.012    0.000    0.042    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1157(__init__)
     2045    0.011    0.000    0.015    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:304(evaluate_density)
     8319    0.010    0.000    0.010    0.000 {method 'encode' of 'str' objects}
     7731    0.010    0.000    0.181    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/__init__.py:183(dumps)
     8576    0.009    0.000    0.016    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/dataclasses.py:1278(fields)


