figure,group_id,n_water,n_shrinkage,water_specimens,shrinkage_specimens,x_value,y_value,y_unit,evidence_status,expression
treatment_tradeoff.svg,Y|P1-Raw|1020,3,7,"[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C""]","[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C"", ""Y|P1-Raw|1020|D"", ""Y|P1-Raw|1020|E"", ""Y|P1-Raw|1020|F"", ""Y|P1-Raw|1020|G""]",1.1416457273901022,21.254397085854094,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P1-Raw|1030,3,7,"[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C""]","[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C"", ""Y|P1-Raw|1030|D"", ""Y|P1-Raw|1030|E"", ""Y|P1-Raw|1030|F"", ""Y|P1-Raw|1030|G""]",1.7253126989856187,21.103034112309636,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P1-Raw|1050,3,7,"[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C""]","[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C"", ""Y|P1-Raw|1050|D"", ""Y|P1-Raw|1050|E"", ""Y|P1-Raw|1050|F"", ""Y|P1-Raw|1050|G""]",3.788521184117713,16.237049414080275,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-ED|1020,3,7,"[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C""]","[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C"", ""Y|P2-ED|1020|D"", ""Y|P2-ED|1020|E"", ""Y|P2-ED|1020|F"", ""Y|P2-ED|1020|G""]",3.071793559619737,19.671730502896935,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-ED|1030,3,7,"[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C""]","[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C"", ""Y|P2-ED|1030|D"", ""Y|P2-ED|1030|E"", ""Y|P2-ED|1030|F"", ""Y|P2-ED|1030|G""]",4.373819424235268,17.48992389118872,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-ED|1050,3,7,"[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C""]","[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C"", ""Y|P2-ED|1050|D"", ""Y|P2-ED|1050|E"", ""Y|P2-ED|1050|F"", ""Y|P2-ED|1050|G""]",8.086234736754673,11.178914699226741,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-Raw|1020,3,7,"[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C""]","[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C"", ""Y|P2-Raw|1020|D"", ""Y|P2-Raw|1020|E"", ""Y|P2-Raw|1020|F"", ""Y|P2-Raw|1020|G""]",1.5775820540281387,20.619706449043473,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-Raw|1030,3,7,"[""Y|P2-Raw|1030|A"", ""Y|P2-Raw|1030|B"", ""Y|P2-Raw|1030|C""]","[""Y|P2-Raw|1030|A"", ""Y|P2-Raw|1030|B"", ""Y|P2-Raw|1030|C"", ""Y|P2-Raw|1030|D"", ""Y|P2-Raw|1030|E"", ""Y|P2-Raw|1030|F"", ""Y|P2-Raw|1030|G""]",2.8514591164509726,18.85174189177753,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P2-Raw|1050,3,7,"[""Y|P2-Raw|1050|A"", ""Y|P2-Raw|1050|B"", ""Y|P2-Raw|1050|C""]","[""Y|P2-Raw|1050|A"", ""Y|P2-Raw|1050|B"", ""Y|P2-Raw|1050|C"", ""Y|P2-Raw|1050|D"", ""Y|P2-Raw|1050|E"", ""Y|P2-Raw|1050|F"", ""Y|P2-Raw|1050|G""]",5.67980354966722,13.675575032542778,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|Ref|1020,3,7,"[""Y|Ref|1020|A"", ""Y|Ref|1020|B"", ""Y|Ref|1020|C""]","[""Y|Ref|1020|A"", ""Y|Ref|1020|B"", ""Y|Ref|1020|C"", ""Y|Ref|1020|D"", ""Y|Ref|1020|E"", ""Y|Ref|1020|F"", ""Y|Ref|1020|G""]",-0.16238091960514475,18.400335022993456,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|Ref|1030,3,7,"[""Y|Ref|1030|A"", ""Y|Ref|1030|B"", ""Y|Ref|1030|C""]","[""Y|Ref|1030|A"", ""Y|Ref|1030|B"", ""Y|Ref|1030|C"", ""Y|Ref|1030|D"", ""Y|Ref|1030|E"", ""Y|Ref|1030|F"", ""Y|Ref|1030|G""]",-0.05884752629956781,18.30656994331421,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|Ref|1050,3,7,"[""Y|Ref|1050|A"", ""Y|Ref|1050|B"", ""Y|Ref|1050|C""]","[""Y|Ref|1050|A"", ""Y|Ref|1050|B"", ""Y|Ref|1050|C"", ""Y|Ref|1050|D"", ""Y|Ref|1050|E"", ""Y|Ref|1050|F"", ""Y|Ref|1050|G""]",0.6565320365272882,17.377990691169273,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-ED|1020,3,7,"[""R|P1-ED|1020|A"", ""R|P1-ED|1020|B"", ""R|P1-ED|1020|C""]","[""R|P1-ED|1020|A"", ""R|P1-ED|1020|B"", ""R|P1-ED|1020|C"", ""R|P1-ED|1020|D"", ""R|P1-ED|1020|E"", ""R|P1-ED|1020|F"", ""R|P1-ED|1020|G""]",3.5471114456073343,15.3462830280885,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-ED|1030,3,7,"[""R|P1-ED|1030|A"", ""R|P1-ED|1030|B"", ""R|P1-ED|1030|C""]","[""R|P1-ED|1030|A"", ""R|P1-ED|1030|B"", ""R|P1-ED|1030|C"", ""R|P1-ED|1030|D"", ""R|P1-ED|1030|E"", ""R|P1-ED|1030|F"", ""R|P1-ED|1030|G""]",4.513567691857199,13.783991880692204,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-ED|1050,3,7,"[""R|P1-ED|1050|A"", ""R|P1-ED|1050|B"", ""R|P1-ED|1050|C""]","[""R|P1-ED|1050|A"", ""R|P1-ED|1050|B"", ""R|P1-ED|1050|C"", ""R|P1-ED|1050|D"", ""R|P1-ED|1050|E"", ""R|P1-ED|1050|F"", ""R|P1-ED|1050|G""]",5.392296315402656,11.270920230874196,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-Raw|1020,3,7,"[""R|P1-Raw|1020|A"", ""R|P1-Raw|1020|B"", ""R|P1-Raw|1020|C""]","[""R|P1-Raw|1020|A"", ""R|P1-Raw|1020|B"", ""R|P1-Raw|1020|C"", ""R|P1-Raw|1020|D"", ""R|P1-Raw|1020|E"", ""R|P1-Raw|1020|F"", ""R|P1-Raw|1020|G""]",2.984956107208967,14.241280792778484,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-Raw|1030,3,7,"[""R|P1-Raw|1030|A"", ""R|P1-Raw|1030|B"", ""R|P1-Raw|1030|C""]","[""R|P1-Raw|1030|A"", ""R|P1-Raw|1030|B"", ""R|P1-Raw|1030|C"", ""R|P1-Raw|1030|D"", ""R|P1-Raw|1030|E"", ""R|P1-Raw|1030|F"", ""R|P1-Raw|1030|G""]",3.724928332266684,13.303097778599454,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P1-Raw|1050,3,7,"[""R|P1-Raw|1050|A"", ""R|P1-Raw|1050|B"", ""R|P1-Raw|1050|C""]","[""R|P1-Raw|1050|A"", ""R|P1-Raw|1050|B"", ""R|P1-Raw|1050|C"", ""R|P1-Raw|1050|D"", ""R|P1-Raw|1050|E"", ""R|P1-Raw|1050|F"", ""R|P1-Raw|1050|G""]",6.761805198409422,8.402161556360989,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-ED|1020,3,7,"[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C""]","[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C"", ""R|P2-ED|1020|D"", ""R|P2-ED|1020|E"", ""R|P2-ED|1020|F"", ""R|P2-ED|1020|G""]",4.75115721080023,12.849265812050223,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-ED|1030,3,7,"[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C""]","[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C"", ""R|P2-ED|1030|D"", ""R|P2-ED|1030|E"", ""R|P2-ED|1030|F"", ""R|P2-ED|1030|G""]",6.2327207204679995,10.659740726086861,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-ED|1050,3,7,"[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C""]","[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C"", ""R|P2-ED|1050|D"", ""R|P2-ED|1050|E"", ""R|P2-ED|1050|F"", ""R|P2-ED|1050|G""]",8.399704223640715,7.093634488787943,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-Raw|1020,3,7,"[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C""]","[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C"", ""R|P2-Raw|1020|D"", ""R|P2-Raw|1020|E"", ""R|P2-Raw|1020|F"", ""R|P2-Raw|1020|G""]",4.62893628404429,12.982896146718431,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-Raw|1030,3,7,"[""R|P2-Raw|1030|A"", ""R|P2-Raw|1030|B"", ""R|P2-Raw|1030|C""]","[""R|P2-Raw|1030|A"", ""R|P2-Raw|1030|B"", ""R|P2-Raw|1030|C"", ""R|P2-Raw|1030|D"", ""R|P2-Raw|1030|E"", ""R|P2-Raw|1030|F"", ""R|P2-Raw|1030|G""]",6.28895303406758,10.220571921138658,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|P2-Raw|1050,3,7,"[""R|P2-Raw|1050|A"", ""R|P2-Raw|1050|B"", ""R|P2-Raw|1050|C""]","[""R|P2-Raw|1050|A"", ""R|P2-Raw|1050|B"", ""R|P2-Raw|1050|C"", ""R|P2-Raw|1050|D"", ""R|P2-Raw|1050|E"", ""R|P2-Raw|1050|F"", ""R|P2-Raw|1050|G""]",8.883802184739562,6.25301169885539,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|Ref|1020,3,7,"[""R|Ref|1020|A"", ""R|Ref|1020|B"", ""R|Ref|1020|C""]","[""R|Ref|1020|A"", ""R|Ref|1020|B"", ""R|Ref|1020|C"", ""R|Ref|1020|D"", ""R|Ref|1020|E"", ""R|Ref|1020|F"", ""R|Ref|1020|G""]",-0.14433210299520244,15.04715765375356,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|Ref|1030,3,7,"[""R|Ref|1030|A"", ""R|Ref|1030|B"", ""R|Ref|1030|C""]","[""R|Ref|1030|A"", ""R|Ref|1030|B"", ""R|Ref|1030|C"", ""R|Ref|1030|D"", ""R|Ref|1030|E"", ""R|Ref|1030|F"", ""R|Ref|1030|G""]",0.09142237887676471,14.981435444817507,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,R|Ref|1050,3,7,"[""R|Ref|1050|A"", ""R|Ref|1050|B"", ""R|Ref|1050|C""]","[""R|Ref|1050|A"", ""R|Ref|1050|B"", ""R|Ref|1050|C"", ""R|Ref|1050|D"", ""R|Ref|1050|E"", ""R|Ref|1050|F"", ""R|Ref|1050|G""]",0.7457294369010556,13.769222424186168,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
