source_id,material_id,material_class,original_label,property,value,unit,basis,file,sheet,cell,identity_status
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.18891,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C878,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01661972,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E878,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,880.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A879,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.68641,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B879,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.1912,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C879,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01751845,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E879,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,881.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A880,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.78654,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B880,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.19231,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C880,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01757017,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E880,resolved
