source_id,file,sheet,cell,formula,shared_anchor,cached_value,cache_kind,external_reference,verification
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J29,0.7*$C2+0.3*E2,I29,0.6103999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K29,0.7*$C2+0.3*F2,I29,0.7867999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L29,0.7*$C2+0.3*G2,I29,0.7345999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M29,0.7*$C2+0.3*H2,I29,0.7375999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A30,A3,A29,MgO,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B30,B3,A29,2.562,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C30,0.7*$B3+0.3*D3,C29,2.8889999999999993,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D30,0.7*$B3+0.3*E3,C29,2.5214999999999996,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E30,0.7*$B3+0.3*F3,C29,3.494999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F30,0.7*$B3+0.3*G3,C29,2.7053999999999996,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G30,0.7*$B3+0.3*H3,C29,2.2716,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H30,C3,,2.142,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I30,0.7*$C3+0.3*D3,I29,2.5949999999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J30,0.7*$C3+0.3*E3,I29,2.2275,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K30,0.7*$C3+0.3*F3,I29,3.2009999999999996,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L30,0.7*$C3+0.3*G3,I29,2.4113999999999995,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M30,0.7*$C3+0.3*H3,I29,1.9775999999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A31,A4,A29,Al2O3,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B31,B4,A29,11.361,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C31,0.7*$B4+0.3*D4,C29,10.887,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D31,0.7*$B4+0.3*E4,C29,10.0998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E31,0.7*$B4+0.3*F4,C29,9.7263,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F31,0.7*$B4+0.3*G4,C29,9.8703,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G31,0.7*$B4+0.3*H4,C29,10.3326,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H31,C4,,13.73,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I31,0.7*$C4+0.3*D4,I29,12.5453,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J31,0.7*$C4+0.3*E4,I29,11.758099999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K31,0.7*$C4+0.3*F4,I29,11.384599999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L31,0.7*$C4+0.3*G4,I29,11.528599999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M31,0.7*$C4+0.3*H4,I29,11.990899999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A32,A5,A29,SiO2,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B32,B5,A29,51.306,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C32,0.7*$B5+0.3*D5,C29,44.37749999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D32,0.7*$B5+0.3*E5,C29,45.31529999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E32,0.7*$B5+0.3*F5,C29,43.03139999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F32,0.7*$B5+0.3*G5,C29,46.78049999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G32,0.7*$B5+0.3*H5,C29,51.61679999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H32,C5,,63.305,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I32,0.7*$C5+0.3*D5,I29,52.776799999999994,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J32,0.7*$C5+0.3*E5,I29,53.7146,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K32,0.7*$C5+0.3*F5,I29,51.430699999999995,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L32,0.7*$C5+0.3*G5,I29,55.1798,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M32,0.7*$C5+0.3*H5,I29,60.016099999999994,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A33,A6,A29,P2O5,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B33,B6,A29,0.144,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C33,0.7*$B6+0.3*D6,C29,6.394499999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D33,0.7*$B6+0.3*E6,,5.1732,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E33,0.7*$B6+0.3*F6,C29,7.287,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F33,0.7*$B6+0.3*G6,C29,4.580699999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G33,0.7*$B6+0.3*H6,C29,1.0611,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H33,C6,,0.0,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I33,0.7*$C6+0.3*D6,I29,6.293699999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J33,0.7*$C6+0.3*E6,I29,5.0724,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K33,0.7*$C6+0.3*F6,I29,7.1862,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L33,0.7*$C6+0.3*G6,I29,4.4799,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M33,0.7*$C6+0.3*H6,I29,0.9602999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A34,A8,A34,K2O,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B34,B8,,2.478,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C34,0.7*$B8+0.3*D8,C34,2.3772,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D34,0.7*$B8+0.3*E8,C34,2.1675,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E34,0.7*$B8+0.3*F8,,2.3277,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F34,0.7*$B8+0.3*G8,C34,2.364,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G34,0.7*$B8+0.3*H8,C34,2.4816000000000003,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H34,C8,,2.805,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I34,0.7*$C8+0.3*D8,I34,2.6061,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J34,0.7*$C8+0.3*E8,I34,2.3964,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K34,0.7*$C8+0.3*F8,I34,2.5566,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L34,0.7*$C8+0.3*G8,I34,2.5929,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M34,0.7*$C8+0.3*H8,I34,2.7105,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A35,A9,A34,CaO,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B35,B9,A34,11.318,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C35,0.7*$B9+0.3*D9,C34,12.844999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D35,0.7*$B9+0.3*E9,C34,11.405,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E35,0.7*$B9+0.3*F9,C34,12.816199999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F35,0.7*$B9+0.3*G9,C34,9.809,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G35,0.7*$B9+0.3*H9,C34,8.2877,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H35,C9,,2.633,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I35,0.7*$C9+0.3*D9,I34,6.7655,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J35,0.7*$C9+0.3*E9,I34,5.3255,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K35,0.7*$C9+0.3*F9,I34,6.7367,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L35,0.7*$C9+0.3*G9,I34,3.7295,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M35,0.7*$C9+0.3*H9,I34,2.2082,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A36,A10,A34,TiO2,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B36,B10,A34,0.645,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C36,0.7*$B10+0.3*D10,C34,0.696,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D36,0.7*$B10+0.3*E10,C34,0.7779,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E36,0.7*$B10+0.3*F10,C34,0.7293,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F36,0.7*$B10+0.3*G10,C34,0.8375999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G36,0.7*$B10+0.3*H10,C34,0.9329999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H36,C10,,0.84,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I36,0.7*$C10+0.3*D10,I34,0.8324999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J36,0.7*$C10+0.3*E10,I34,0.9144,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K36,0.7*$C10+0.3*F10,I34,0.8657999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L36,0.7*$C10+0.3*G10,I34,0.9741,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M36,0.7*$C10+0.3*H10,I34,1.0695,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A37,A11,A34,MnO,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B37,B11,,0.709,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C37,0.7*$B11+0.3*D11,C34,0.5275,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D37,0.7*$B11+0.3*E11,C34,0.5217999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E37,0.7*$B11+0.3*F11,C34,0.5251,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F37,0.7*$B11+0.3*G11,C34,0.5155,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G37,0.7*$B11+0.3*H11,C34,0.5071,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H37,C11,,0.107,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I37,0.7*$C11+0.3*D11,I34,0.1061,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J37,0.7*$C11+0.3*E11,I34,0.10039999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K37,0.7*$C11+0.3*F11,I34,0.10369999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L37,0.7*$C11+0.3*G11,I34,0.09409999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M37,0.7*$C11+0.3*H11,I34,0.0857,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A38,A12,A34,Fe2O3,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B38,B12,,4.634,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C38,0.7*$B12+0.3*D12,C34,7.2938,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D38,0.7*$B12+0.3*E12,C34,9.3413,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E38,0.7*$B12+0.3*F12,C34,8.228000000000002,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F38,0.7*$B12+0.3*G12,C34,10.5035,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G38,0.7*$B12+0.3*H12,C34,10.711099999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H38,C12,,5.524,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I38,0.7*$C12+0.3*D12,I34,7.916799999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J38,0.7*$C12+0.3*E12,I34,9.964299999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K38,0.7*$C12+0.3*F12,I34,8.850999999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L38,0.7*$C12+0.3*G12,I34,11.1265,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M38,0.7*$C12+0.3*H12,I34,11.3341,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,A39,A20,,Total,str,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B39,B20,,99.957,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C39,0.7*$B20+0.3*D20,,99.9699,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D39,0.7*$B20+0.3*E20,,99.96929999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E39,0.7*$B20+0.3*F20,,99.9705,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F39,0.7*$B20+0.3*G20,,99.96689999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G39,0.7*$B20+0.3*H20,,99.97289999999998,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H39,C20,,99.99900000000001,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I39,0.7*$C20+0.3*D20,,99.9993,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J39,0.7*$C20+0.3*E20,,99.9987,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K39,0.7*$C20+0.3*F20,,99.99990000000001,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L39,0.7*$C20+0.3*G20,,99.99629999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M39,0.7*$C20+0.3*H20,,100.00229999999999,n,False,recomputed_match
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B62,(B59*B58+B60*$B$57)/(B58*B59),,1.3479556328838627,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C62,(C59*C58+C60*$B$57)/(C58*C59),,1.658124228712464,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D62,(D59*D58+D60*$B$57)/(D58*D59),D62,1.2045907928388746,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E62,(E59*E58+E60*$B$57)/(E58*E59),D62,1.399176646706587,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F62,(F59*F58+F60*$B$57)/(F58*F59),D62,1.6684353457280134,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G62,(G59*G58+G60*$B$57)/(G58*G59),D62,1.2912085911903894,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H62,(H59*H58+H60*$B$57)/(H58*H59),D62,1.4296956132497762,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I62,(I59*I58+I60*$B$57)/(I58*I59),D62,2.2914917662253793,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B64,B43/B$62,,0.4147020765097856,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C64,C43/C$62,,1.5451194522315115,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D64,D43/D$62,D64,2.0571301181541206,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E64,E43/E$62,D64,8.089042957256726,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F64,F43/F$62,D64,0.38658974808433916,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G64,G43/G$62,D64,0.5490979574000198,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H64,H43/H$62,D64,3.2412493659868375,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I64,I43/I$62,,0.06284115968577166,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B65,B44/B$62,B65,0.4547627422191387,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C65,C44/C$62,B65,1.7423302488278047,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D65,D44/D$62,B65,1.973450248941072,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E65,E44/E$62,B65,9.180399079869469,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F65,F44/F$62,B65,0.41715730956077524,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G65,G44/G$62,B65,0.408531978178435,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H65,H44/H$62,B65,5.101645365911695,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I65,I44/I$62,B65,2.7905402472962972,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B66,B45/B$62,B65,0.3728609367689056,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C66,C45/C$62,B65,1.5206942618273833,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D66,D45/D$62,B65,1.7993662353103537,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E66,E45/E$62,B65,8.151222382710104,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F66,F45/F$62,B65,0.4662452171082286,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G66,G45/G$62,B65,0.40411750940949265,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H66,H45/H$62,B65,6.53376838638171,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I66,I45/I$62,B65,2.2575686617113466,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B67,B46/B$62,B65,0.503725778086126,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C67,C46/C$62,B65,2.107803468208092,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D67,D46/D$62,B65,1.9323574560239496,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E67,E46/E$62,B65,9.15981554592628,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F67,F46/F$62,B65,0.43711612911303643,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G67,G46/G$62,B65,0.4066732544862488,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H67,H46/H$62,B65,5.755071166020652,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I67,I46/I$62,B65,3.1800245182654034,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B68,B47/B$62,B65,0.4650004679004179,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C68,C47/C$62,B65,1.6316027189957576,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D68,D47/D$62,B65,1.962492170829839,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E68,E47/E$62,B65,7.010551543358475,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F68,F47/F$62,B65,0.5020272449541743,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G68,G47/G$62,B65,0.39923835971750377,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H68,H47/H$62,B65,7.346668691334214,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I68,I47/I$62,B65,1.9990034734209319,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,B69,B48/B$62,B65,0.4672260604398264,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,C69,C48/C$62,B65,1.3699817906670966,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,D69,D48/D$62,B65,2.0601186849117297,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E69,E48/E$62,B65,5.923269245171989,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F69,F48/F$62,B65,0.5592065658336254,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G69,G48/G$62,B65,0.39273282679485194,n,False,not_recomputed
30156127,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H69,H48/H$62,B65,7.491874424691758,n,False,not_recomputed
