source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30156127,mix:R,R,,0.0,,mixture_xrf_Na2O,0.713,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H29,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_MgO,2.142,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H30,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_Al2O3,13.73,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H31,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_SiO2,63.305,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H32,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_P2O5,0.0,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H33,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_K2O,2.805,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H34,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_CaO,2.633,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H35,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_TiO2,0.84,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H36,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_MnO,0.107,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H37,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_Fe2O3,5.524,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H38,source_derived
30156127,mix:R,R,,0.0,,mixture_xrf_Total,99.99900000000001,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,H39,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_Na2O,0.7207999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I29,source_derived
