source_id,material_id,temperature_C,relative_humidity_percent,time_min,moisture_ratio,readout_bound_MR,experimental_uncertainty_MR,source_kind,upstream_observation_kind,locator,image,pixel_x,pixel_y,method,calibration_role,independent_material
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,50,0.561728,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,798,179.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,60,0.475309,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,815,207,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,70,0.388889,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,832,235.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,80,0.308642,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,849,261,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,90,0.234568,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,866,285,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,100,0.166667,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,883,307.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,110,0.104938,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,900,327.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,120,0.070988,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,917,338,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,130,0.055556,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,934,343.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,140,0.049383,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,950,345.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,150,0.040123,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,967,348,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,160,0.037037,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,984,349,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,714,37.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,10,0.867284,0.024691,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,731,80.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,20,0.728395,0.023148,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,748,125.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,30,0.601852,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,765,166.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,40,0.487654,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,782,203.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,50,0.384259,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,798,236.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,60,0.29321,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,815,266,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,70,0.216049,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,832,291,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,80,0.154321,0.015432,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,849,311,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,90,0.106481,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,866,326.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,100,0.072531,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,883,337.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,110,0.050926,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,900,344.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,40,120,0.041667,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,917,347.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,714,37.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,10,0.820988,0.030864,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,731,95.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,20,0.652778,0.029321,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,748,149.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,30,0.50463,0.023148,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,765,197.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,40,0.361111,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,782,244.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,50,0.259259,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,798,277.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,60,0.16821,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,815,306.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,70,0.095679,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,832,330.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,80,0.063272,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,849,340.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,40,90,0.037037,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,866,349,color_symbol_pixel_readout,unassigned,False
