time_min,envelope_volume_mm3,hole_section_math_pi_mm2,printed_C_depth_net_volume_mm3,L_depth_math_pi_net_volume_mm3,L_depth_pi314_net_volume_mm3,published_net_volume_mm3,printed_C_minus_published_mm3,L_math_pi_minus_published_mm3,L_pi314_minus_published_mm3,L_depth_macroscopic_hole_fraction
180,7591104,23318.2272401045026002468,875454.5548499032511289216,3137322.5971400400033528612,3137397.961176,3137398,-2261943.4451500967488710784,-75.4028599599966471388,-0.038824,0.5867106290283942884522644928
210,7575552,22976.2592364636448552388,958389.3398984702816912256,3164110.2265989801877941504,3164184.072192,3164184,-2205794.6601015297183087744,-73.7734010198122058496,0.072192,0.5823261160904208448712185726
240,7536096,22888.8007266988460760425,944121.3907107323300997600,3164335.0612005203994758825,3164409.565850,3164410,-2220288.6092892676699002400,-74.9387994796005241175,-0.434150,0.5801095074690502350984007502
270,7575552,23275.4503909988334295652,872222.2873923359722852224,3106665.5249282239815234816,3106739.751168,3106740,-2234517.7126076640277147776,-74.4750717760184765184,-0.248832,0.5899090224807084709439679643
330,7575552,23081.7056424634138958992,928020.7749705367979810304,3143864.5166470245319873536,3143941.628928,3143942,-2215921.2250294632020189696,-77.4833529754680126464,-0.371072,0.5849986223252081786268045418
390,7575552,23110.8562792447973988753,919625.3915774983491239136,3138267.5943849988994159424,3138342.106752,3138342,-2218716.6084225016508760864,-74.4056150011005840576,0.106752,0.5857374361122464871977722019
450,7536096,23293.4961900421559245200,827569.0972678590937382400,3087038.2277019482184166800,3087114.167400,3087114,-2259544.9027321409062617600,-75.7722980517815833200,0.167400,0.5903663876227229299604622871
510,7536096,23042.3837986305134912292,899889.4659944121145259904,3135000.6944615719231752228,3135074.913744,3135075,-2235185.5340055878854740096,-74.3055384280768247772,-0.086256,0.5840020224713735171134732360
570,7536096,23076.4025474358406305513,890092.0663384778984012256,3128503.1134397544395647017,3128578.190466,3128578,-2238485.9336615221015987744,-74.8865602455604352983,0.190466,0.5848642170376074774572004258
630,7536096,23022.8053223575378298128,905528.0671610291050139136,3138740.1834297102745057552,3138814.592896,3138815,-2233286.9328389708949860864,-74.8165702897254942448,-0.407104,0.5835058121035466806015004055
690,7536096,23108.2380203935175635825,880923.4501266669416882400,3122422.5381048381453557425,3122495.150650,3122495,-2241571.5498733330583117600,-72.4618951618546442575,0.150650,0.5856710771592031012667908556
750,7536096,23157.6756554616002913993,866685.4112270591160770016,3112979.9498068343443427337,3113052.938826,3113053,-2246367.5887729408839229984,-73.0501931656556572663,-0.061174,0.5869240585832725134681493309
810,7536096,23159.8971434762641698368,866045.6226788359190870016,3112555.6455960335435611712,3112631.201276,3112631,-2246585.3773211640809129984,-75.3544039664564388288,0.201276,0.5869803615033521940854825629
870,7536096,23249.5467593586850402308,840226.5333046987084135296,3095432.5689624911573159172,3095507.168856,3095507,-2255280.4666953012915864704,-74.4310375088426840828,0.168856,0.5892525030251086030066605839
930,7536096,23158.6339554616002913993,866409.4208270591160770016,3112796.9145068343443427337,3112869.903526,3112870,-2246460.5791729408839229984,-73.0854931656556572663,-0.096474,0.5869483463975466416108906123
990,7536096,23175.8170848872402090457,861460.6795524748197948384,3109514.9367865371200722713,3109588.681674,3109589,-2248128.3204475251802051616,-74.0632134628799277287,-0.318326,0.5873838474474665503103634428
2430,7562263,22841.3697804270361964273,961107.1334565865392325103,3199561.3719384360864823857,3199628.093286,3199628,-2238520.8665434134607674897,-66.6280615639135176143,0.093286,0.5769042452056433257501906903
3870,7416080,22601.9966557603782489817,929306.9597967714425422521,3121700.6354055281326934770,3121758.849460,3121759,-2192452.0402032285574577479,-58.3645944718673065230,-0.150540,0.5790632469707004060509761222
