dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.03125,1.09375,0.0033497312629205502,0.006650268737079446,0.01,344.4185205095267,476966.0096416868,-23.473387854459705,1.3719332565106832e-09,1.5083366760064096e-07,0.001366365062267505,6.205826278193854,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.125,0.003246675043626702,0.006753324956373294,0.01,345.3572563280042,481221.261304051,-23.473387854459705,1.3392085883958254e-09,1.5037004320482203e-07,0.0013773308036775234,6.231171182298567,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.15625,0.0031467894023588304,0.006853210597641165,0.01,346.27711163621643,485374.88871965726,-23.473387854459705,1.307128207091026e-09,1.4979217423990304e-07,0.001386922338383556,6.250822596892249,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.1875,0.003049976794639875,0.00695002320536012,0.01,347.1782147593563,489428.6933546552,-23.473387854459705,1.275705079714982e-09,1.4910752928198878e-07,0.0013951752310390475,6.26499374944251,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.21875,0.002956142676999194,0.007043857323000802,0.01,348.0607067790078,493384.4701204185,-23.473387854459705,1.2447774959419284e-09,1.483232254864686e-07,0.0014021260332128804,6.273895623278804,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.25,0.0028651954146450445,0.007134804585354951,0.01,348.9247408047363,497244.0065967895,-23.473387854459705,1.2145671066941686e-09,1.4744604314364737e-07,0.0014078121428724444,6.2777367607923225,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.28125,0.002777046191977569,0.007222953808022427,0.01,349.77048125283204,501009.0822340871,-23.473387854459705,1.1848664409545242e-09,1.4648243966929042e-07,0.0014122716685278647,6.276723069779109,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.3125,0.0026916089258548943,0.0073083910741451015,0.01,350.59810313410395,504681.4675407683,-23.473387854459705,1.1558178423189913e-09,1.454385630552356e-07,0.0014155432994016337,6.271057638921775,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.34375,0.0026088001815276454,0.00739119981847235,0.01,351.40779135246834,508262.92326313176,-23.473387854459705,1.127395518276579e-09,1.4432026479568524e-07,0.0014176661798614987,6.2609405615366995,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.375,0.0025285390911597757,0.007471460908840219,0.01,352.1997400159162,511755.19956295367,-23.473387854459705,1.0995205355330548e-09,1.4313311231086215e-07,0.0014186797902766557,6.246568766073324,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
