scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,0.30000000000000004,12,0.80000000000000004,0.8666666666666667,0.66871941565513626,0.33128058434486374,0.78621535079120486
R01,0.30000000000000004,13,0.8666666666666667,0.93333333333333335,0.68332116351101047,0.31667883648898948,0.78434417114748789
R01,0.30000000000000004,14,0.93333333333333335,1,0.70016776117922674,0.29983223882077314,0.78207889087013938
R01,0.40000000000000002,0,0,0.066666666666666666,0.53202747032385866,0.467972529676141,0.74977627790225532
R01,0.40000000000000002,1,0.066666666666666666,0.13333333333333333,0.53292240645118505,0.46707759354881473,0.74966806835232358
R01,0.40000000000000002,2,0.13333333333333333,0.20000000000000001,0.53472803556136483,0.46527196443863506,0.74944799430434106
R01,0.40000000000000002,3,0.20000000000000001,0.26666666666666666,0.53747588747394981,0.46252411252605008,0.74910867722598962
R01,0.40000000000000002,4,0.26666666666666666,0.33333333333333331,0.54121329495001891,0.45878670504998109,0.74863887817762498
R01,0.40000000000000002,5,0.33333333333333331,0.40000000000000002,0.54600343302928644,0.45399656697071356,0.74802329378982357
R01,0.40000000000000002,6,0.40000000000000002,0.46666666666666667,0.55192536088234667,0.44807463911765333,0.74724228675157889
R01,0.40000000000000002,7,0.46666666666666667,0.53333333333333333,0.55907405689033607,0.44092594310966393,0.74627155352672836
R01,0.40000000000000002,8,0.53333333333333333,0.59999999999999998,0.56756043505791465,0.43243956494208546,0.74508173342291162
R01,0.40000000000000002,9,0.59999999999999998,0.66666666666666663,0.57751132802739535,0.42248867197260465,0.74363796507186875
R01,0.40000000000000002,10,0.66666666666666663,0.73333333333333328,0.58906941880686647,0.41093058119313347,0.74189939898690926
R01,0.40000000000000002,11,0.73333333333333328,0.80000000000000004,0.60239309975763466,0.39760690024236528,0.7398186783056333
R01,0.40000000000000002,12,0.80000000000000004,0.8666666666666667,0.6176562332897787,0.38234376671022124,0.73734140427856909
R01,0.40000000000000002,13,0.8666666666666667,0.93333333333333335,0.63504778399505935,0.36495221600494065,0.73440560871105265
R01,0.40000000000000002,14,0.93333333333333335,1,0.65477128644828353,0.34522871355171642,0.73094126257997094
R01,0.5,0,0,0.066666666666666666,0.48071587389019554,0.51928412610980423,0.71284910940935675
R01,0.5,1,0.066666666666666666,0.13333333333333333,0.48181616079878936,0.51818383920121058,0.71267482286979178
R01,0.5,2,0.13333333333333333,0.20000000000000001,0.48403098207620626,0.51596901792379368,0.71232179069543244
R01,0.5,3,0.20000000000000001,0.26666666666666666,0.48738882780464277,0.51261117219535701,0.71178103836894002
R01,0.5,4,0.26666666666666666,0.33333333333333331,0.49193241907534779,0.50806758092465198,0.7110389644637104
R01,0.5,5,0.33333333333333331,0.40000000000000002,0.49771868566603494,0.50228131433396483,0.71007717643273627
R01,0.5,6,0.40000000000000002,0.46666666666666667,0.50481872694924168,0.49518127305075826,0.7088722775881876
R01,0.5,7,0.46666666666666667,0.53333333333333333,0.51331774765656446,0.48668225234343576,0.70739561098320469
R01,0.5,8,0.53333333333333333,0.59999999999999998,0.52331495754844692,0.47668504245155319,0.70561296813822416
R01,0.5,9,0.59999999999999998,0.66666666666666663,0.53492342113473546,0.46507657886526454,0.70348427333977659
R01,0.5,10,0.66666666666666663,0.73333333333333328,0.54826984028707648,0.45173015971292363,0.70096325770347967
R01,0.5,11,0.73333333333333328,0.80000000000000004,0.56349424881698418,0.43650575118301593,0.69799714145656844
R01,0.5,12,0.80000000000000004,0.8666666666666667,0.58074959380311619,0.41925040619688381,0.6945263480666114
R01,0.5,13,0.8666666666666667,0.93333333333333335,0.60020117361736092,0.39979882638263908,0.69048428000357776
R01,0.5,14,0.93333333333333335,1,0.62202589718612611,0.37797410281387395,0.68579719309864107
R01,0.60000000000000009,0,0,0.066666666666666666,0.44311588118434236,0.55688411881565758,0.6807371947769264
R01,0.60000000000000009,1,0.066666666666666666,0.13333333333333333,0.44437533266726892,0.55562466733273119,0.68049023347595927
R01,0.60000000000000009,2,0.13333333333333333,0.20000000000000001,0.44690708311416211,0.55309291688583795,0.67999128058846092
R01,0.60000000000000009,3,0.20000000000000001,0.26666666666666666,0.45073681004844546,0.54926318995155476,0.67923023513943037
R01,0.60000000000000009,4,0.26666666666666666,0.33333333333333331,0.45590298411767949,0.54409701588232062,0.6781918464978347
R01,0.60000000000000009,5,0.33333333333333331,0.40000000000000002,0.46245680854973531,0.53754319145026475,0.67685560063424566
R01,0.60000000000000009,6,0.40000000000000002,0.46666666666666667,0.47046212860472741,0.52953787139527253,0.67519557754501813
R01,0.60000000000000009,7,0.46666666666666667,0.53333333333333333,0.47999530222199693,0.52000469777800318,0.6731802882535014
R01,0.60000000000000009,8,0.53333333333333333,0.59999999999999998,0.49114502039142599,0.50885497960857395,0.67077250268087851
R01,0.60000000000000009,9,0.59999999999999998,0.66666666666666663,0.50401206280809974,0.49598793719190032,0.66792908306906762
R01,0.60000000000000009,10,0.66666666666666663,0.73333333333333328,0.51870897105591274,0.48129102894408743,0.66460084161560784
R01,0.60000000000000009,11,0.73333333333333328,0.80000000000000004,0.53535961788429254,0.46464038211570774,0.66073244560204847
R01,0.60000000000000009,12,0.80000000000000004,0.8666666666666667,0.55409864708750212,0.44590135291249799,0.65626239857829227
R01,0.60000000000000009,13,0.8666666666666667,0.93333333333333335,0.57507075411139863,0.42492924588860137,0.65112313206110961
R01,0.60000000000000009,14,0.93333333333333335,1,0.59842977285793308,0.40157022714206703,0.64524124857795462
R01,0.70000000000000007,0,0,0.066666666666666666,0.41576380623524722,0.584236193764753,0.65217059351438178
R01,0.70000000000000007,1,0.066666666666666666,0.13333333333333333,0.41714629735778541,0.5828537026422147,0.65184771113228923
R01,0.70000000000000007,2,0.13333333333333333,0.20000000000000001,0.41992289311855735,0.58007710688144287,0.65119655564133239
R01,0.70000000000000007,3,0.20000000000000001,0.26666666666666666,0.424116792515987,0.575883207484013,0.65020632378544518
R01,0.70000000000000007,4,0.26666666666666666,0.33333333333333331,0.4297627217594287,0.57023727824057135,0.64886075860717973
R01,0.70000000000000007,5,0.33333333333333331,0.40000000000000002,0.43690684129230883,0.56309315870769117,0.64713809386541521
R01,0.70000000000000007,6,0.40000000000000002,0.46666666666666667,0.44560661127673334,0.5543933887232666,0.64501099171280019
R01,0.70000000000000007,7,0.46666666666666667,0.53333333333333333,0.45593060618419767,0.54406939381580233,0.6424464842806189
R01,0.70000000000000007,8,0.53333333333333333,0.59999999999999998,0.46795826642039273,0.53204173357960727,0.63940593313512273
R01,0.70000000000000007,9,0.59999999999999998,0.66666666666666663,0.48177957197263116,0.51822042802736878,0.63584502427564371
R01,0.70000000000000007,10,0.66666666666666663,0.73333333333333328,0.49749461989492688,0.50250538010507306,0.63171382046150826
R01,0.70000000000000007,11,0.73333333333333328,0.80000000000000004,0.51521308405284771,0.48478691594715229,0.62695689715861769
R01,0.70000000000000007,12,0.80000000000000004,0.8666666666666667,0.53505353198294836,0.4649464680170517,0.62151359319948307
R01,0.70000000000000007,13,0.8666666666666667,0.93333333333333335,0.55714257007843448,0.44285742992156568,0.61531841217861749
R01,0.70000000000000007,14,0.93333333333333335,1,0.58161378472843828,0.41838621527156178,0.60830161536654082
R01,0.80000000000000004,0,0,0.066666666666666666,0.39616589220986087,0.60383410779013902,0.62626018451702559
R01,0.80000000000000004,1,0.066666666666666666,0.13333333333333333,0.39764360552374822,0.60235639447625178,0.62586049239368147
R01,0.80000000000000004,2,0.13333333333333333,0.20000000000000001,0.40060956018081317,0.59939043981918672,0.62505554739933267
R01,0.80000000000000004,3,0.20000000000000001,0.26666666666666666,0.40508477404323101,0.59491522595676893,0.62383422673269118
R01,0.80000000000000004,4,0.26666666666666666,0.33333333333333331,0.41110067608181738,0.58889932391818256,0.62217984582915831
R01,0.80000000000000004,5,0.33333333333333331,0.40000000000000002,0.41869898242162651,0.58130101757837349,0.62007016612202825
R01,0.80000000000000004,6,0.40000000000000002,0.46666666666666667,0.42793152000859708,0.57206847999140287,0.61747741925592758
R01,0.80000000000000004,7,0.46666666666666667,0.53333333333333333,0.4388599881972079,0.56114001180279205,0.61436836002559081
R01,0.80000000000000004,8,0.53333333333333333,0.59999999999999998,0.45155564588503294,0.54844435411496695,0.6107043638197982
R01,0.80000000000000004,9,0.59999999999999998,0.66666666666666663,0.46609890902153617,0.53390109097846383,0.60644158806992354
R01,0.80000000000000004,10,0.66666666666666663,0.73333333333333328,0.48257884041597776,0.51742115958402213,0.60153122108782253
R01,0.80000000000000004,11,0.73333333333333328,0.80000000000000004,0.50109251081433936,0.49890748918566064,0.59591984562164813
R01,0.80000000000000004,12,0.80000000000000004,0.8666666666666667,0.52174420729603255,0.47825579270396745,0.5895499482722738
R01,0.80000000000000004,13,0.8666666666666667,0.93333333333333335,0.5446444623005231,0.45535553769947673,0.58236060930921207
R01,0.80000000000000004,14,0.93333333333333335,1,0.56990887422053316,0.43009112577946662,0.5742884099888913
R01,0.90000000000000002,0,0,0.066666666666666666,0.3825039078343283,0.61749609216567158,0.60237231696412663
R01,0.90000000000000002,1,0.066666666666666666,0.13333333333333333,0.38405539141181544,0.61594460858818456,0.60189660611308726
R01,0.90000000000000002,2,0.13333333333333333,0.20000000000000001,0.38716791968797615,0.61283208031202374,0.60093962626410091
