scenario_id,tau_left,tau_right,integral_J_u,integral_J_v,integral_q_body
R01,8.8000000000000007,8.9000000000000004,-0.0025213108802817352,0.0025213108802817352,0.00039405636224731921
R01,8.9000000000000004,9,-0.0023688559456378488,0.0023688559456378488,0.00035856908448383962
R01,9,9.0999999999999996,-0.0022248115922891554,0.0022248115922891554,0.00032616876632518554
R01,9.0999999999999996,9.2000000000000011,-0.0020887919633607588,0.0020887919633607588,0.0002966024125155009
R01,9.2000000000000011,9.3000000000000007,-0.0019604212120196696,0.0019604212120196696,0.000269635570167015
R01,9.3000000000000007,9.4000000000000004,-0.0018393340671081226,0.0018393340671081226,0.00024505127921070624
R01,9.4000000000000004,9.5,-0.0017251762865069242,0.0017251762865069242,0.00022264903692370552
R01,9.5,9.6000000000000014,-0.0016176050071645687,0.0016176050071645687,0.00020224378431343837
R01,9.6000000000000014,9.7000000000000011,-0.0015162890005384622,0.0015162890005384622,0.00018366492060128969
R01,9.7000000000000011,9.8000000000000007,-0.0014209088421139882,0.0014209088421139882,0.00016675535075694192
R01,9.8000000000000007,9.9000000000000004,-0.0013311570032725761,0.001331157003272132,0.0001513705698776846
R01,9.9000000000000004,10,-0.0012467378736067403,0.0012467378736067403,0.00013737778715272597
R01,10,10.100000000000001,-0.0011673677212775679,0.0011673677212775679,0.00012465509131098784
R01,10.100000000000001,10.200000000000001,-0.0010927745986681892,0.0010927745986681892,0.0001130906586466196
R01,10.200000000000001,10.300000000000001,-0.0010226982001526608,0.0010226982001526608,0.00010258200411072949
R01,10.300000000000001,10.4,-0.00095688967831897287,0.00095688967831897287,9.3035275388064775e-05
R01,10.4,10.5,-0.00089511142456455417,0.00089511142456455417,8.4364589440166782e-05
R01,10.5,10.600000000000001,-0.00083713681950747798,0.00083713681950747798,7.6491410652579361e-05
R01,10.600000000000001,10.700000000000001,-0.00078274995824711979,0.00078274995824711979,6.9343969396173932e-05
R01,10.700000000000001,10.800000000000001,-0.00073174535499842541,0.00073174535499842541,6.2856719642345737e-05
R01,10.800000000000001,10.9,-0.00068392763130731282,0.00068392763130731282,5.6969834034692468e-05
R01,10.9,11,-0.00063911119157245011,0.00063911119157245011,5.1628734793141007e-05
R01,11,11.100000000000001,-0.00059711988925381654,0.00059711988925381654,4.6783658639970582e-05
R01,11.100000000000001,11.200000000000001,-0.00055778668675698917,0.00055778668675698917,4.2389253995578358e-05
R01,11.200000000000001,11.300000000000001,-0.00052095331171986281,0.00052095331171986281,3.8404208603681766e-05
R01,11.300000000000001,11.4,-0.00048646991199863265,0.00048646991199863265,3.4790905782955406e-05
R01,11.4,11.5,-0.0004541947114715672,0.0004541947114715672,3.1515107552282373e-05
R01,11.5,11.600000000000001,-0.00042399366843359765,0.00042399366843359765,2.8545662850598674e-05
R01,11.600000000000001,11.700000000000001,-0.00039574013813314934,0.00039574013813314934,2.5854239219746944e-05
R01,11.700000000000001,11.800000000000001,-0.00036931454078947823,0.00036931454078947823,2.341507628100814e-05
R01,11.800000000000001,11.9,-0.00034460403619429592,0.00034460403619429592,2.120475953404366e-05
R01,11.9,12,-0.00032150220584470368,0.00032150220584470368,1.9202012901065046e-05
R01,12,12.100000000000001,-0.00029990874336149886,0.00029990874336149886,1.7387508720378975e-05
R01,12.100000000000001,12.200000000000001,-0.00027972915380392038,0.00027972915380392038,1.574369380707985e-05
R01,12.200000000000001,12.300000000000001,-0.0002608744623810999,0.0002608744623810999,1.4254630367860344e-05
R01,12.300000000000001,12.4,-0.00024326093288595807,0.00024326093288595807,1.2905850590883006e-05
R01,12.4,12.5,-0.00022680979614997376,0.00022680979614952967,1.1684223840902064e-05
R01,12.5,12.600000000000001,-0.00021144698861141897,0.00021144698861141897,1.0577835413583259e-05
R01,12.600000000000001,12.700000000000001,-0.00019710290115892981,0.00019710290115892981,9.5758759577346808e-06
R01,12.700000000000001,12.800000000000001,-0.00018371213817980347,0.00018371213817980347,8.6685406093245376e-06
R01,12.800000000000001,12.9,-0.00017121328682501158,0.00017121328682501158,7.8469370974332264e-06
R01,12.9,13,-0.0001595486963239523,0.0001595486963239523,7.1030020296625196e-06
R01,13,13.100000000000001,-0.00014866426723703086,0.00014866426723703086,6.4294246711060765e-06
R01,13.100000000000001,13.200000000000001,-0.00013850925046421381,0.00013850925046421381,5.8195775629599211e-06
R01,13.200000000000001,13.300000000000001,-0.00012903605575065313,0.00012903605575065313,5.267453420332302e-06
R01,13.300000000000001,13.4,-0.00012020006947643935,0.00012020006947643935,4.7676077201685985e-06
R01,13.4,13.5,-0.00011195948146092149,0.00011195948146092149,4.3151065316493487e-06
R01,13.5,13.600000000000001,-0.00010427512048605259,0.00010427512048605259,3.9054790792469873e-06
R01,13.600000000000001,13.700000000000001,-9.7110298268754391e-05,9.7110298268754391e-05,3.5346746511955018e-06
R01,13.700000000000001,13.800000000000001,-9.0430661558116299e-05,9.0430661558116299e-05,3.1990234719003752e-06
R01,13.800000000000001,13.9,-8.4204052074987601e-05,8.4204052074987601e-05,2.8952011250638066e-06
R01,13.9,14,-7.8400373952902669e-05,7.8400373952902669e-05,2.6201963203575929e-06
R01,14,14.100000000000001,-7.2991468413441396e-05,7.2991468413441396e-05,2.3712815713228252e-06
R01,14.100000000000001,14.200000000000001,-6.7950995334076225e-05,6.7950995334076225e-05,2.145986636614694e-06
R01,14.200000000000001,14.300000000000001,-6.3254321414296655e-05,6.3254321414296655e-05,1.9420743782028183e-06
R01,14.300000000000001,14.4,-5.8878414645802124e-05,5.8878414645802124e-05,1.7575189013019354e-06
R01,14.4,14.5,-5.4801744794996665e-05,5.4801744794996665e-05,1.5904857062487565e-06
R01,14.5,14.600000000000001,-5.1004189586922877e-05,5.1004189586922877e-05,1.4393136806845064e-06
R01,14.600000000000001,14.700000000000001,-4.7466946357044293e-05,4.7466946357044293e-05,1.3024988014809225e-06
R01,14.700000000000001,14.800000000000001,-4.4172448840473777e-05,4.4172448840473777e-05,1.1786793263635076e-06
R01,14.800000000000001,14.9,-4.1104288893034635e-05,4.1104288893034635e-05,1.0666223919653106e-06
R01,14.9,15,-3.8247142846836724e-05,3.8247142846836724e-05,9.6521186376818946e-07
R01,15,15.100000000000001,-3.5586702282097704e-05,3.5586702282097704e-05,8.7343730625910609e-07
R01,15.100000000000001,15.200000000000001,-3.3109608969850157e-05,3.3109608969850157e-05,7.903840268941309e-07
R01,15.200000000000001,15.300000000000001,-3.0803393753719988e-05,3.0803393753719988e-05,7.1522400979517897e-07
R01,15.300000000000001,15.4,-2.865641918026185e-05,2.865641918026185e-05,6.472077356267647e-07
R01,15.4,15.5,-2.6657825625164833e-05,2.6657825625164833e-05,5.8565675398192241e-07
R01,15.5,15.600000000000001,-2.4797480776772574e-05,2.4797480776772574e-05,5.2995696542268433e-07
R01,15.600000000000001,15.700000000000001,-2.3065932219346053e-05,2.3065932219346053e-05,4.7955252524545244e-07
