time_min,envelope_volume_mm3,hole_section_math_pi_mm2,printed_C_depth_net_volume_mm3,L_depth_math_pi_net_volume_mm3,L_depth_pi314_net_volume_mm3,published_net_volume_mm3,printed_C_minus_published_mm3,L_math_pi_minus_published_mm3,L_pi314_minus_published_mm3,L_depth_macroscopic_hole_fraction,L_pi314_exact_mm3,hole_fraction_exact
70,7901038,24767.0882506461554799937,644281.1425606764443618459,3096222.8793746458368812222,3096306.692156,3096307,-2452025.8574393235556381541,-84.1206253541631187778,-0.307844,0.60812454270253530778092420261742824170697571635524,774076673039/250000,247670882506461554799937/407270000000000000000000
80,7901038,24810.2686633773899184777,631629.2816304247538860339,3087845.8793047863558153262,3087933.396076,3087933,-2456303.7183695752461139661,-87.1206952136441846738,0.396076,0.60918478315067129713648685147445183784712844059224,771983349019/250000,248102686633773899184777/407270000000000000000000
90,7833484,24659.3800571808711505377,632945.0233031856240429916,3074223.6489640918679462239,3074305.618222,3074306,-2441360.9766968143759570084,-82.3510359081320537761,-0.381778,0.60755346548686486524435054695969251995663742978220,1537152809111/500000,246593800571808711505377/405880000000000000000000
120,7710336,24105.2821264494593731353,695698.9012032073224176277,3082121.8317217038003580224,3082199.041152,3082199,-2386500.0987967926775823723,-77.1682782961996419776,0.041152,0.60026102212384728754258927237412221724189451665920,48159360018/15625,80350940421498197910451/133860000000000000000000
150,7617462,23652.4397530618196891633,781906.9113651341098318063,3099846.0071651924393698097,3099924.760106,3099925,-2318018.0886348658901681937,-78.9928348075606301903,-0.239894,0.59306052236752970485841482373000351035554886916403,1549962380053/500000,236524397530618196891633/398820000000000000000000
180,7591104,23318.2272401045026002468,875454.5548499032511289216,3137322.5971400400033528612,3137397.961176,3137398,-2261943.4451500967488710784,-75.4028599599966471388,-0.038824,0.58671062902839428845226449275362318840579710144928,392174745147/125000,6477285344473472944513/11040000000000000000000
210,7575552,22976.2592364636448552388,958389.3398984702816912256,3164110.2265989801877941504,3164184.072192,3164184,-2205794.6601015297183087744,-73.7734010198122058496,0.072192,0.58232611609042084487121857258718572587185725871857,49440376128/15625,57440648091159112138097/98640000000000000000000
240,7536096,22888.8007266988460760425,944121.39071073233009976,3164335.0612005203994758825,3164409.56585,3164410,-2220288.60928926766990024,-74.9387994796005241175,-0.43415,0.58010950746905023509840075020275750202757502027575,63288191317/20000,9155520290679538430417/15782400000000000000000
270,7575552,23275.4503909988334295652,872222.2873923359722852224,3106665.5249282239815234816,3106739.751168,3106740,-2234517.7126076640277147776,-74.4750717760184765184,-0.248832,0.58990902248070847094396796431467964314679643146796,48542808612/15625,58188625977497083573913/98640000000000000000000
330,7575552,23081.7056424634138958992,928020.7749705367979810304,3143864.5166470245319873536,3143941.628928,3143942,-2215921.2250294632020189696,-77.4833529754680126464,-0.371072,0.58499862232520817862680454176804541768045417680454,49124087952/15625,14426066026539633684937/24660000000000000000000
390,7575552,23110.8562792447973988753,919625.3915774983491239136,3138267.5943849988994159424,3138342.106752,3138342,-2218716.6084225016508760864,-74.4056150011005840576,0.106752,0.58573743611224648719777220194647201946472019464720,49036595418/15625,77036187597482657996251/131520000000000000000000
450,7536096,23293.49619004215592452,827569.09726785909373824,3087038.22770194821841668,3087114.1674,3087114,-2259544.90273214090626176,-75.77229805178158332,0.1674,0.59036638762272292996046228710462287104622871046229,15435570837/5000,194112468250351299371/328800000000000000000
510,7536096,23042.3837986305134912292,899889.4659944121145259904,3135000.6944615719231752228,3135074.913744,3135075,-2235185.5340055878854740096,-74.3055384280768247772,-0.086256,0.58400202247137351711347323600973236009732360097324,195942182109/62500,19201986498858761242691/32880000000000000000000
570,7536096,23076.4025474358406305513,890092.0663384778984012256,3128503.1134397544395647017,3128578.190466,3128578,-2238485.9336615221015987744,-74.8865602455604352983,0.190466,0.58486421703760747745720042579075425790754257907543,1564289095233/500000,76921341824786135435171/131520000000000000000000
630,7536096,23022.8053223575378298128,905528.0671610291050139136,3138740.1834297102745057552,3138814.592896,3138815,-2233286.9328389708949860864,-74.8165702897254942448,-0.407104,0.58350581210354668060150040551500405515004055150041,49043978014/15625,14389253326473461143633/24660000000000000000000
690,7536096,23108.2380203935175635825,880923.45012666694168824,3122422.5381048381453557425,3122495.15065,3122495,-2241571.54987333305831176,-72.4618951618546442575,0.15065,0.58567107715920310126679085563665855636658556366586,62449903013/20000,9243295208157407025433/15782400000000000000000
750,7536096,23157.6756554616002913993,866685.4112270591160770016,3112979.9498068343443427337,3113052.938826,3113053,-2246367.5887729408839229984,-73.0501931656556572663,-0.061174,0.58692405858327251346814933090024330900243309002433,1556526469413/500000,77192252184872000971331/131520000000000000000000
810,7536096,23159.8971434762641698368,866045.6226788359190870016,3112555.6455960335435611712,3112631.201276,3112631,-2246585.3773211640809129984,-75.3544039664564388288,0.201276,0.58698036150335219408548256285482562854825628548256,778157800319/250000,3618733928668166276537/6165000000000000000000
870,7536096,23249.5467593586850402308,840226.5333046987084135296,3095432.5689624911573159172,3095507.168856,3095507,-2255280.4666953012915864704,-74.4310375088426840828,0.168856,0.58925250302510860300666058394160583941605839416058,386938396107/125000,6458207433155190288953/10960000000000000000000
930,7536096,23158.6339554616002913993,866409.4208270591160770016,3112796.9145068343443427337,3112869.903526,3112870,-2246460.5791729408839229984,-73.0854931656556572663,-0.096474,0.58694834639754664161089061232765612327656123276561,1556434951763/500000,231586339554616002913993/394560000000000000000000
990,7536096,23175.8170848872402090457,861460.6795524748197948384,3109514.9367865371200722713,3109588.681674,3109589,-2248128.3204475251802051616,-74.0632134628799277287,-0.318326,0.58738384744746655031036344282238442822384428223844,1554794340837/500000,77252723616290800696819/131520000000000000000000
2430,7562263,22841.3697804270361964273,961107.1334565865392325103,3199561.3719384360864823857,3199628.093286,3199628,-2238520.8665434134607674897,-66.6280615639135176143,0.093286,0.57690424520564332575019069027353320031318667441214,1599814046643/500000,228413697804270361964273/395930000000000000000000
3870,7416080,22601.9966557603782489817,929306.9597967714425422521,3121700.635405528132693477,3121758.84946,3121759,-2192452.0402032285574577479,-58.364594471867306523,-0.15054,0.57906324697070040605097612215617954498872719819635,156087942473/50000,226019966557603782489817/390320000000000000000000
