source_row,time_min,temperature_c,dta_uv,mass_ug,dtg_ug_min,time_s,temperature_k,mass_kg
9151,76.033333333333331,782.764892578125,13.0080459117889,2529.6182861328102,0.98486328125,4561.999999999999860,1055.914892578125,0.0000025296182861328102
9152,76.041666666666671,782.84851074218795,13.007683515548701,2529.6241455078102,1.14599609375,4562.500000000000260,1055.99851074218795,0.0000025296241455078102
9153,76.05,782.93322753906295,13.007542371749899,2529.6202392578102,1.455078125,4563.00,1056.08322753906295,0.0000025296202392578102
9154,76.058333333333337,783.01623535156295,13.0070827007294,2529.6148681640602,1.42041015625,4563.500000000000220,1056.16623535156295,0.0000025296148681640602
9155,76.066666666666663,783.09857177734398,13.0067756175995,2529.6109619140602,1.5029296875,4563.999999999999780,1056.24857177734398,0.0000025296109619140602
9156,76.075000000000003,783.183349609375,13.0066735744476,2529.5977783203102,1.63818359375,4564.500000000000180,1056.333349609375,0.0000025295977783203102
9157,76.083333333333329,783.26690673828102,13.006508588790901,2529.5748291015602,1.79248046875,4564.999999999999740,1056.41690673828102,0.0000025295748291015602
9158,76.091666666666669,783.34991455078102,13.006535291671799,2529.5445556640602,1.86376953125,4565.500000000000140,1056.49991455078102,0.0000025295445556640602
9159,76.099999999999994,783.43347167968795,13.006580114364599,2529.4918212890602,2.2373046875,4565.999999999999640,1056.58347167968795,0.0000025294918212890602
9160,76.108333333333334,783.51702880859398,13.0064408779144,2529.4840087890602,2.23095703125,4566.500000000000040,1056.66702880859398,0.0000025294840087890602
9161,76.11666666666666,783.60119628906295,13.0065562725067,2529.4615478515602,2.033203125,4566.99999999999960,1056.75119628906295,0.0000025294615478515602
9162,76.125,783.68597412109398,13.006743192672699,2529.4327392578102,1.94189453125,4567.500,1056.83597412109398,0.0000025294327392578102
9163,76.13333333333334,783.76892089843795,13.0065324306488,2529.3951416015602,1.853515625,4568.00000000000040,1056.91892089843795,0.0000025293951416015602
9164,76.141666666666666,783.84893798828102,13.0065591335297,2529.3721923828102,1.76904296875,4568.499999999999960,1056.99893798828102,0.0000025293721923828102
9165,76.150000000000006,783.93249511718795,13.006590604782099,2529.3004150390602,1.55517578125,4569.000000000000360,1057.08249511718795,0.0000025293004150390602
9166,76.158333333333331,784.014892578125,13.0067298412323,2529.2852783203102,1.412109375,4569.499999999999860,1057.164892578125,0.0000025292852783203102
9167,76.166666666666671,784.0966796875,13.006376981735199,2529.2945556640602,1.21533203125,4570.000000000000260,1057.2466796875,0.0000025292945556640602
9168,76.174999999999997,784.1796875,13.0060603618622,2529.2965087890602,1.28466796875,4570.499999999999820,1057.3296875,0.0000025292965087890602
9169,76.183333333333337,784.25909423828102,13.0053708553314,2529.2926025390602,1.3291015625,4571.000000000000220,1057.40909423828102,0.0000025292926025390602
9170,76.191666666666663,784.33850097656295,13.005115270614599,2529.2886962890602,1.291015625,4571.499999999999780,1057.48850097656295,0.0000025292886962890602
9171,76.2,784.4208984375,13.0043456554413,2529.3038330078102,1.5859375,4572.0,1057.5708984375,0.0000025293038330078102
9172,76.208333333333329,784.50030517578102,13.003391981124899,2529.3111572265602,1.64404296875,4572.499999999999740,1057.65030517578102,0.0000025293111572265602
9173,76.216666666666669,784.58508300781295,13.0027215480804,2529.3282470703102,1.59326171875,4573.000000000000140,1057.73508300781295,0.0000025293282470703102
9174,76.224999999999994,784.66864013671898,13.001922369003299,2529.3077392578102,1.712890625,4573.499999999999640,1057.81864013671898,0.0000025293077392578102
9175,76.233333333333334,784.75280761718795,13.001443624496501,2529.2906494140602,1.880859375,4574.000000000000040,1057.90280761718795,0.0000025292906494140602
