scenario_id,tau,xi,u,v,f
base,0.8,0.3,0.4111006312668477,0.5888993687331521,0.6221798305094628
base,0.8,0.36666666666666664,0.41869893838237315,0.5813010616176266,0.6200701510024503
base,0.8,0.43333333333333335,0.4279314768928806,0.5720685231071194,0.6174774043705054
base,0.8,0.5,0.43885994614889123,0.5611400538511087,0.6143683454048382
base,0.8,0.5666666666666667,0.45155560504339287,0.548444394956607,0.6107043494899158
base,0.8,0.6333333333333333,0.4660988695206364,0.5339011304793634,0.6064415740518782
base,0.8,0.7,0.48257880238406403,0.5174211976159357,0.6015312073963228
base,0.8,0.7666666666666667,0.5010924743731995,0.4989075256268003,0.5959198322639702
base,0.8,0.8333333333333334,0.5217441725604234,0.4782558274395764,0.5895499352469256
base,0.8,0.9,0.5446444293774182,0.4553555706225815,0.5823605966044303
base,0.8,0.9666666666666667,0.5699088432086105,0.4300911567913892,0.5742883975809767
base,0.9,0.03333333333333333,0.38250386747140336,0.6174961325285964,0.6023723032847358
base,0.9,0.1,0.3840553511861977,0.6159446488138021,0.6018965924688439
base,0.9,0.16666666666666666,0.38716787973637745,0.6128321202636224,0.6009396126896377
base,0.9,0.23333333333333334,0.3918605271842962,0.6081394728157037,0.5994902679809515
base,0.9,0.3,0.39816178178627787,0.6018382182137219,0.5975319684331242
base,0.9,0.36666666666666664,0.40610939187404443,0.5938906081259553,0.5950427040869222
base,0.9,0.43333333333333335,0.415750149113022,0.5842498508869776,0.5919951586364884
base,0.9,0.5,0.4271395993872122,0.5728604006127875,0.5883568761230819
base,0.9,0.5666666666666667,0.4403416690199865,0.5596583309800132,0.5840904972463785
base,0.9,0.6333333333333333,0.4554281914818752,0.5445718085181246,0.5791540853581955
base,0.9,0.7,0.4724783172101692,0.5275216827898307,0.5735015655190036
base,0.9,0.7666666666666667,0.4915777867540525,0.5084222132459474,0.5670833030048542
base,0.9,0.8333333333333334,0.5128180452858959,0.4871819547141039,0.5598468500788286
base,0.9,0.9,0.5362951747577083,0.4637048252422916,0.5517378913130769
base,0.9,0.9666666666666667,0.5621086188543768,0.43789138114562315,0.5427014177757632
base,1.0,0.03333333333333333,0.3734354230862238,0.626564576913776,0.5800489065707968
base,1.0,0.1,0.3750440105605055,0.6249559894394943,0.5794991840748855
base,1.0,0.16666666666666666,0.3782698711988919,0.6217301288011079,0.5783943401172742
base,1.0,0.23333333333333334,0.3831303185075739,0.6168696814924259,0.5767236191302911
base,1.0,0.3,0.38965117568505725,0.6103488243149424,0.574470997031125
base,1.0,0.36666666666666664,0.39786659249098294,0.6021334075090168,0.5716153217438329
base,1.0,0.43333333333333335,0.4078187899722825,0.5921812100277172,0.5681305162009829
base,1.0,0.5,0.4195577235449711,0.5804422764550285,0.5639858571413493
base,1.0,0.5666666666666667,0.43314065260424905,0.5668593473957508,0.5591463461598909
base,1.0,0.6333333333333333,0.44863160259898865,0.5513683974010112,0.553573192355308
base,1.0,0.7,0.4661007034344713,0.5338992965655285,0.5472244283806565
base,1.0,0.7666666666666667,0.485623386267819,0.5143766137321808,0.540055683483932
base,1.0,0.8333333333333334,0.5072794193807748,0.49272058061922497,0.5320211378961034
base,1.0,0.9,0.5311517630458537,0.46884823695414624,0.5230746822630787
base,1.0,0.9666666666666667,0.557325223379342,0.4426747766206578,0.5131713032166956
base,1.1,0.03333333333333333,0.36795815137538374,0.632041848624616,0.5589551393878213
base,1.1,0.1,0.3696107661860884,0.6303892338139113,0.5583343044151989
base,1.1,0.16666666666666666,0.3729238760468203,0.6270761239531794,0.557087536271115
base,1.1,0.23333333333333334,0.3779131743381223,0.6220868256618776,0.5552047026549662
base,1.1,0.3,0.3846020310900471,0.6153979689099527,0.5526707686729582
base,1.1,0.36666666666666664,0.3930212825232165,0.6069787174767831,0.549466002334849
base,1.1,0.43333333333333335,0.4032089398108244,0.5967910601891753,0.5455662637614473
base,1.1,0.5,0.4152098080843968,0.5847901919156029,0.5409433907671208
base,1.1,0.5666666666666667,0.42907500466215087,0.5709249953378488,0.5355656960948569
base,1.1,0.6333333333333333,0.44486136362574313,0.5551386363742563,0.5293985936955732
base,1.1,0.7,0.46263071230463787,0.5373692876953617,0.5224053728295976
base,1.1,0.7666666666666667,0.4824490040735555,0.5175509959264443,0.5145481391333027
base,1.1,0.8333333333333334,0.5043852912877236,0.49561470871227625,0.5057889407763073
base,1.1,0.9,0.5285105223691793,0.4714894776308205,0.4960910950106059
