scenario_id,tau_start,tau_end,o2_net_out_increment,co2_net_out_increment
reaction_slow,3.5,3.6,-0.012642840069703287,0.012642840069703287
reaction_slow,3.6,3.7,-0.01260832208246404,0.01260832208246404
reaction_slow,3.7,3.8000000000000003,-0.012569568766654826,0.012569568766654826
reaction_slow,3.8000000000000003,3.9000000000000004,-0.012526985553349801,0.012526985553349801
reaction_slow,3.9000000000000004,4.0,-0.012480941503914211,0.012480941503914211
reaction_slow,4.0,4.1000000000000005,-0.012431772631544047,0.012431772631544047
reaction_slow,4.1000000000000005,4.2,-0.012379784914122671,0.012379784914122671
reaction_slow,4.2,4.3,-0.012325257027607617,0.012325257027607617
reaction_slow,4.3,4.4,-0.012268442826327386,0.012268442826327386
reaction_slow,4.4,4.5,-0.012209573594042011,0.012209573594042011
reaction_slow,4.5,4.6000000000000005,-0.012148860087319635,0.012148860087319635
reaction_slow,4.6000000000000005,4.7,-0.012086494390717628,0.012086494390717628
reaction_slow,4.7,4.800000000000001,-0.01202265160139504,0.01202265160139504
reaction_slow,4.800000000000001,4.9,-0.011957491359104067,0.011957491359104067
reaction_slow,4.9,5.0,-0.011891159235984272,0.011891159235984272
reaction_slow,5.0,5.1000000000000005,-0.011823787999216018,0.011823787999216018
reaction_slow,5.1000000000000005,5.2,-0.011755498758358796,0.011755498758358796
reaction_slow,5.2,5.300000000000001,-0.011686402008070917,0.011686402008070917
reaction_slow,5.300000000000001,5.4,-0.011616598575899584,0.011616598575899362
reaction_slow,5.4,5.5,-0.011546180483934743,0.011546180483934743
reaction_slow,5.5,5.6000000000000005,-0.011475231732258173,0.011475231732258173
reaction_slow,5.6000000000000005,5.7,-0.01140382901141579,0.01140382901141579
reaction_slow,5.7,5.800000000000001,-0.01133204235043428,0.01133204235043428
reaction_slow,5.800000000000001,5.9,-0.011259935706298796,0.011259935706298796
reaction_slow,5.9,6.0,-0.011187567500278828,0.011187567500278828
reaction_slow,6.0,6.1000000000000005,-0.011114991105949712,0.011114991105949712
reaction_slow,6.1000000000000005,6.2,-0.011042255293336245,0.011042255293336245
reaction_slow,6.2,6.300000000000001,-0.010969404633187851,0.010969404633187851
reaction_slow,6.300000000000001,6.4,-0.010896479865005304,0.010896479865005304
reaction_slow,6.4,6.5,-0.010823518232134122,0.010823518232134122
reaction_slow,6.5,6.6000000000000005,-0.010750553786908368,0.010750553786908368
reaction_slow,6.6000000000000005,6.7,-0.010677617668557238,0.010677617668557238
reaction_slow,6.7,6.800000000000001,-0.010604738356358334,0.010604738356358223
reaction_slow,6.800000000000001,6.9,-0.010531941900256525,0.010531941900256414
reaction_slow,6.9,7.0,-0.010459252131004293,0.010459252131004293
reaction_slow,7.0,7.1000000000000005,-0.010386690851654223,0.010386690851654223
reaction_slow,7.1000000000000005,7.2,-0.010314278012088729,0.010314278012088729
reaction_slow,7.2,7.300000000000001,-0.010242031868120782,0.010242031868120782
reaction_slow,7.300000000000001,7.4,-0.01016996912653323,0.01016996912653323
reaction_slow,7.4,7.5,-0.01009810507733866,0.01009810507733866
reaction_slow,7.5,7.6000000000000005,-0.010026453714389594,0.010026453714389594
reaction_slow,7.6000000000000005,7.7,-0.0099550278453866,0.0099550278453866
reaction_slow,7.7,7.800000000000001,-0.009883839192223798,0.009883839192223798
reaction_slow,7.800000000000001,7.9,-0.009812898482553178,0.009812898482553178
reaction_slow,7.9,8.0,-0.009742215533320442,0.009742215533320886
reaction_slow,8.0,8.1,-0.009671799327016006,0.009671799327016006
reaction_slow,8.1,8.200000000000001,-0.009601658081263786,0.009601658081264008
reaction_slow,8.200000000000001,8.3,-0.009531799312354039,0.009531799312354261
reaction_slow,8.3,8.4,-0.009462229893256624,0.009462229893256624
reaction_slow,8.4,8.5,-0.009392956106586636,0.009392956106586636
reaction_slow,8.5,8.6,-0.009323983692992255,0.009323983692992477
reaction_slow,8.6,8.700000000000001,-0.00925531789534939,0.00925531789534939
reaction_slow,8.700000000000001,8.8,-0.009186963499138612,0.009186963499138834
reaction_slow,8.8,8.9,-0.00911892486935173,0.00911892486935173
reaction_slow,8.9,9.0,-0.009051205984205613,0.009051205984205835
reaction_slow,9.0,9.1,-0.008983810465981623,0.008983810465981623
reaction_slow,9.1,9.200000000000001,-0.008916741609203305,0.008916741609203305
reaction_slow,9.200000000000001,9.3,-0.008850002406412427,0.008850002406412427
reaction_slow,9.3,9.4,-0.008783595571747238,0.008783595571747238
reaction_slow,9.4,9.5,-0.008717523562507656,0.008717523562507656
reaction_slow,9.5,9.600000000000001,-0.008651788598888155,0.008651788598888377
reaction_slow,9.600000000000001,9.700000000000001,-0.008586392682038868,0.008586392682038868
reaction_slow,9.700000000000001,9.8,-0.00852133761060303,0.00852133761060303
reaction_slow,9.8,9.9,-0.008456624995852646,0.008456624995852646
reaction_slow,9.9,10.0,-0.008392256275560506,0.008392256275560506
reaction_slow,10.0,10.100000000000001,-0.008328232726690477,0.008328232726690477
reaction_slow,10.100000000000001,10.200000000000001,-0.008264555477048408,0.008264555477048408
reaction_slow,10.200000000000001,10.3,-0.008201225515948929,0.008201225515948929
reaction_slow,10.3,10.4,-0.008138243704003623,0.008138243704003623
reaction_slow,10.4,10.5,-0.00807561078208141,0.00807561078208141
reaction_slow,10.5,10.600000000000001,-0.008013327379554402,0.008013327379554402
reaction_slow,10.600000000000001,10.700000000000001,-0.00795139402185674,0.00795139402185674
reaction_slow,10.700000000000001,10.8,-0.007889811137405944,0.007889811137406388
reaction_slow,10.8,10.9,-0.007828579063995145,0.007828579063995145
reaction_slow,10.9,11.0,-0.0077676980546432794,0.0077676980546432794
reaction_slow,11.0,11.100000000000001,-0.007707168282977683,0.007707168282977683
reaction_slow,11.100000000000001,11.200000000000001,-0.0076469898481867915,0.0076469898481867915
reaction_slow,11.200000000000001,11.3,-0.007587162779587819,0.007587162779587819
reaction_slow,11.3,11.4,-0.0075276870408089724,0.0075276870408089724
reaction_slow,11.4,11.5,-0.007468562533669232,0.007468562533669232
reaction_slow,11.5,11.600000000000001,-0.007409789101739062,0.007409789101739062
reaction_slow,11.600000000000001,11.700000000000001,-0.007351366533623782,0.007351366533623782
reaction_slow,11.700000000000001,11.8,-0.007293294566003805,0.007293294566003805
reaction_slow,11.8,11.9,-0.007235572886441499,0.007235572886441499
reaction_slow,11.9,12.0,-0.007178201135968454,0.007178201135968454
reaction_slow,12.0,12.100000000000001,-0.0071211789114853374,0.0071211789114853374
reaction_slow,12.100000000000001,12.200000000000001,-0.007064505767985452,0.007064505767985452
reaction_slow,12.200000000000001,12.3,-0.007008181220612197,0.007008181220612197
reaction_slow,12.3,12.4,-0.006952204746568658,0.006952204746568658
reaction_slow,12.4,12.5,-0.006896575786895287,0.006896575786895287
reaction_slow,12.5,12.600000000000001,-0.00684129374811171,0.00684129374811171
reaction_slow,12.600000000000001,12.700000000000001,-0.006786358003763038,0.006786358003763038
reaction_slow,12.700000000000001,12.8,-0.006731767895845175,0.006731767895845175
reaction_slow,12.8,12.9,-0.006677522736135311,0.006677522736135311
reaction_slow,12.9,13.0,-0.006623621807446911,0.006623621807446911
reaction_slow,13.0,13.100000000000001,-0.006570064364790351,0.006570064364790351
reaction_slow,13.100000000000001,13.200000000000001,-0.006516849636475364,0.006516849636475364
