scenario_id,tau,u_core,u_surface,carbon_mean,carbon_max,co2_body,co2_generated,co2_net_out,u_res,v_res
base,5.9,0.8045984213968297,0.8734843634496711,0.029780482755283142,0.03851190867825979,0.1717405708296506,1.940439034489427,1.768698463659777,,
base,6.0,0.8132879354115667,0.879114167380695,0.027415961914349384,0.03551912128845647,0.16410088262239625,1.9451680761712948,1.7810671935488984,,
base,6.1000000000000005,0.8217307523457642,0.8845816634874567,0.025219715425116827,0.03273085454585219,0.15667952966327203,1.9495605691497602,1.792881039486488,,
base,6.2,0.8299230292341846,0.8898848585608211,0.023182028943910075,0.03013639064257069,0.14947960554710013,1.9536359421121738,1.8041563365650743,,
base,6.300000000000001,0.8378618627509933,0.8950223117906138,0.021293499494029203,0.02772520961585834,0.14250340952558252,1.9574130010119353,1.8149095914863536,,
base,6.4,0.8455452644605782,0.8999931217725814,0.019545052702564094,0.0254870283537239,0.13575246665662385,1.9609098945948653,1.825157427938242,,
base,6.5,0.8529721298823911,0.9047969097703003,0.017927956657543452,0.023411834667320462,0.12922755322342244,1.9641440866849071,1.8349165334614854,,
base,6.6000000000000005,0.8601422020754921,0.9094337996108033,0.01643383249467214,0.02148991646542448,0.12292872684896183,1.9671323350106509,1.8442036081616897,,
base,6.7,0.8670560304867346,0.9139043946228104,0.015054661860893099,0.019711886137943748,0.1168553606950404,1.9698906762782102,1.8530353155831685,,
base,6.800000000000001,0.8737149258263972,0.9182097520457402,0.013782791433515917,0.01806870031735175,0.11100618111390524,1.9724344171329653,1.8614282360190577,,
base,6.9,0.8801209117379933,0.9223513553468173,0.01261093469865508,0.016551675238917044,0.1053793081139151,1.974778130602687,1.8693988224887705,,
base,7.0,0.8862766740165515,0.9263310848832808,0.011532171211370817,0.015152497962523763,0.09997229800714345,1.9769356575772556,1.8769633595701123,,
base,7.1000000000000005,0.8921855081038931,0.930151187337913,0.010539943572517474,0.013863233751006305,0.09478218762494048,1.978920112854963,1.8841379252300219,,
base,7.2,0.8978512655523114,0.9338142443399516,0.009628052364313654,0.012676329922733463,0.08980553951552205,1.980743895271372,1.8909383557558483,,
base,7.300000000000001,0.9032783001017777,0.9373231406610607,0.008790649288587537,0.01158461651035542,0.08503848757391078,1.9824187014228252,1.8973802138489122,,
base,7.4,0.908471413962447,0.9406810323486471,0.008022228749117096,0.010581304063995371,0.08047678259725649,1.983955542501766,1.9034787599045078,,
base,7.5,0.9134358048358588,0.9438913151275619,0.0073176181131100184,0.009659978936644416,0.07611583730600528,1.985364763773779,1.9092489264677737,,
base,7.6000000000000005,0.9181770141467226,0.9469575933673209,0.006671966877298912,0.008814596383074084,0.07195077042195373,1.9866560662454016,1.9147052958234467,,
base,7.7,0.9227008768942734,0.9498836498764233,0.006080734951995976,0.008039471792197134,0.06797644944643055,1.9878385300960075,1.9198620806495748,,
base,7.800000000000001,0.9270134734694075,0.9526734167491424,0.005539680262365524,0.007329270357444336,0.06418753183436919,1.9889206394752699,1.9247331076408973,,
base,7.9,0.9311210837224706,0.9553309474541559,0.0050448458506962114,0.006678995471298304,0.060578504311722216,1.989910308298609,1.929331803986884,,
base,8.0,0.9350301435077462,0.9578603903192912,0.004592546647099258,0.0060839761094790105,0.05714372013354795,1.9908149067058027,1.9336711865722527,,
base,8.1,0.9387472038752656,0.9602659635331047,0.0041793560592794455,0.00553985344817714,0.05387743412739885,1.9916412878814418,1.9377638537540407,,
base,8.200000000000001,0.9422788930291708,0.9625519317524639,0.003802092515211181,0.005042566934852465,0.050773835410730765,1.9923958149695782,1.9416219795588452,,
base,8.3,0.9456318811249405,0.9647225843761092,0.003457806076039281,0.00458834001004506,0.047827077711548344,1.9930843878479225,1.9452573101363724,,
base,8.4,0.9488128479357165,0.9667822155176233,0.0031437652205687254,0.004173665654858266,0.04503130725801425,1.9937124695588628,1.9486811623008482,,
base,8.5,0.9518284533807113,0.9687351056874335,0.002857443887537566,0.0037952919166825442,0.042380688235255044,1.994285112224926,1.9519044239896692,,
base,8.6,0.9546853108764115,0.970585505172523,0.0025965088476265436,0.0034502075446327203,0.039869425835953216,1.9948069823047483,1.9549375564687912,,
base,8.700000000000001,0.9573899634437479,0.9723376190843928,0.002358807463966078,0.0031356278463115107,0.03749178695564218,1.9952823850720682,1.9577905981164236,,
base,8.8,0.9599488624814884,0.9739955940304516,0.002142355887822015,0.0028489808590512963,0.03524211860404217,1.995715288224356,1.9604731696203115,,
base,8.9,0.962368349097501,0.9755635063512653,0.001945327725209171,0.00258789391182831,0.03311486412049855,1.996109344549581,1.9629944804290798,,
base,9.0,0.9646546378749243,0.9770453518558384,0.0017660432003990104,0.002350180638641316,0.031104577294860953,1.9964679135992012,1.9653633363043372,,
base,9.1,0.9668138029393383,0.9784450369791339,0.0016029588336324504,0.0021338284903090594,0.029205934505251625,1.9967940823327353,1.967588147827481,,
base,9.200000000000001,0.9688517661853651,0.9797663712801566,0.0014546576427801432,0.0019369867793417263,0.02741374499141942,1.9970906847144398,1.9696769397230183,,
base,9.3,0.9707742875163885,0.9810130611949183,0.0013198398721544797,0.0017579552817282322,0.02572295938706933,1.9973603202556915,1.9716373608686202,,
